"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"08.02.2023,""9.227,30"",""9.224,00"",""9.277,70"",""9.200,00"",""181,82M"",""0,60%"""
"07.02.2023,""9.172,40"",""9.165,90"",""9.204,30"",""9.149,80"",""145,45M"",""0,14%"""
"06.02.2023,""9.159,20"",""9.175,50"",""9.198,60"",""9.124,80"",""148,03M"",""-0,72%"""
"03.02.2023,""9.225,60"",""9.213,90"",""9.248,50"",""9.155,60"",""297,61M"",""-0,04%"""
"02.02.2023,""9.229,70"",""9.145,50"",""9.281,40"",""9.133,10"",""364,81M"",""1,45%"""
"01.02.2023,""9.098,10"",""9.047,30"",""9.126,60"",""9.046,20"",""236,08M"",""0,71%"""
"31.01.2023,""9.034,00"",""9.052,20"",""9.069,90"",""8.994,00"",""239,32M"",""-0,17%"""
"30.01.2023,""9.049,30"",""9.045,80"",""9.066,10"",""9.011,40"",""152,78M"",""-0,12%"""
"27.01.2023,""9.060,20"",""9.048,50"",""9.082,80"",""9.022,30"",""201,02M"",""0,27%"""
"26.01.2023,""9.035,60"",""9.003,10"",""9.054,50"",""8.995,30"",""304,45M"",""0,87%"""
"25.01.2023,""8.957,50"",""8.961,60"",""8.968,30"",""8.905,00"",""166,33M"",""-0,11%"""
"24.01.2023,""8.967,10"",""8.953,70"",""8.978,10"",""8.906,00"",""123,86M"",""0,26%"""
"23.01.2023,""8.944,10"",""8.925,20"",""8.976,50"",""8.909,90"",""134,69M"",""0,29%"""
"20.01.2023,""8.918,20"",""8.829,40"",""8.918,20"",""8.828,90"",""188,97M"",""1,42%"""
"19.01.2023,""8.793,10"",""8.891,30"",""8.894,40"",""8.726,70"",""236,20M"",""-1,57%"""
"18.01.2023,""8.933,30"",""8.910,40"",""8.988,90"",""8.909,50"",""202,92M"",""0,48%"""
"17.01.2023,""8.890,40"",""8.863,70"",""8.916,80"",""8.833,40"",""145,66M"",""0,22%"""
"16.01.2023,""8.871,10"",""8.896,80"",""8.918,20"",""8.847,10"",""125,05M"",""-0,12%"""
"13.01.2023,""8.881,70"",""8.836,70"",""8.918,40"",""8.828,70"",""197,13M"",""0,61%"""
"12.01.2023,""8.828,10"",""8.738,60"",""8.849,70"",""8.735,20"",""203,51M"",""1,17%"""
"11.01.2023,""8.726,30"",""8.721,30"",""8.762,90"",""8.700,70"",""166,06M"",""0,16%"""
"10.01.2023,""8.712,70"",""8.669,30"",""8.724,50"",""8.666,70"",""147,72M"",""0,20%"""
"09.01.2023,""8.694,90"",""8.692,40"",""8.721,60"",""8.661,40"",""215,67M"",""-0,07%"""
"06.01.2023,""8.701,10"",""8.615,00"",""8.701,10"",""8.589,20"",""162,16M"",""1,09%"""
"05.01.2023,""8.607,60"",""8.530,20"",""8.618,90"",""8.527,70"",""182,44M"",""0,56%"""
"04.01.2023,""8.559,80"",""8.443,10"",""8.560,50"",""8.442,10"",""206,75M"",""1,93%"""
"03.01.2023,""8.397,40"",""8.366,90"",""8.454,30"",""8.327,40"",""164,67M"",""0,33%"""
"02.01.2023,""8.369,70"",""8.297,90"",""8.384,90"",""8.283,70"",""92,19M"",""1,71%"""
"30.12.2022,""8.229,10"",""8.290,30"",""8.290,40"",""8.221,70"",""121,41M"",""-1,07%"""
"29.12.2022,""8.318,30"",""8.237,60"",""8.321,90"",""8.208,70"",""117,20M"",""0,72%"""
"28.12.2022,""8.258,50"",""8.275,40"",""8.319,40"",""8.252,30"",""97,67M"",""-0,14%"""
"27.12.2022,""8.270,10"",""8.307,40"",""8.332,50"",""8.266,80"",""91,61M"",""0,01%"""
