"Index","X3M","X6M","X1Y","X2Y","X3Y","X4Y","X5Y","X6Y","X7Y","X8Y","X9Y","X10Y","X11Y","X12Y","X13Y","X14Y","X15Y","X16Y","X17Y","X18Y","X19Y","X20Y","X21Y","X22Y","X23Y","X24Y","X25Y","X26Y","X27Y","X28Y","X29Y","X30Y"
"2014-11-03",-0.02211,-0.047222,-0.078551,-0.078652,-0.016283,0.088452,0.220134,0.367076,0.520548,0.674145,0.823287,0.964809,1.096642,1.21755,1.326924,1.424624,1.510844,1.586018,1.650743,1.705712,1.751679,1.789417,1.819698,1.843272,1.860859,1.873134,1.880728,1.884226,1.884159,1.881014,1.875228,1.867196
"2014-11-10",-0.022273,-0.047693,-0.080006,-0.08313,-0.024557,0.076154,0.203949,0.347374,0.497826,0.648965,0.796222,0.936415,1.067431,1.187982,1.297402,1.395489,1.482379,1.558451,1.62425,1.680426,1.727692,1.766788,1.798455,1.82342,1.842383,1.856004,1.864901,1.869649,1.870773,1.868754,1.864029,1.856989
"2014-11-17",-0.019924,-0.043363,-0.072696,-0.073057,-0.014832,0.083488,0.20764,0.346737,0.492585,0.639122,0.781966,0.91805,1.045328,1.162542,1.269026,1.364566,1.449273,1.523496,1.587744,1.642631,1.688837,1.727067,1.758034,1.782438,1.800951,1.814213,1.822825,1.827344,1.828282,1.82611,1.821252,1.814094
"2014-11-24",-0.018807,-0.041403,-0.069769,-0.070448,-0.014584,0.080215,0.200313,0.335267,0.477177,0.620172,0.759979,0.893583,1.018952,1.134809,1.240457,1.335634,1.4204,1.49505,1.56004,1.615934,1.663363,1.702989,1.735487,1.76152,1.781733,1.796738,1.807114,1.8134,1.816092,1.815649,1.812485,1.806978
"2014-12-01",-0.014554,-0.033845,-0.058105,-0.058533,-0.009818,0.07339,0.179604,0.299898,0.427421,0.556987,0.684742,0.807899,0.924506,1.033275,1.133427,1.224579,1.306646,1.379764,1.44423,1.500455,1.548923,1.590164,1.62473,1.653178,1.676058,1.693901,1.707217,1.716486,1.722157,1.724647,1.724343,1.721597
"2014-12-08",-0.016041,-0.036535,-0.062455,-0.063837,-0.013888,0.071851,0.181242,0.3049,0.435656,0.568116,0.698303,0.82336,0.941315,1.050887,1.151325,1.242289,1.32374,1.39587,1.459029,1.513678,1.560351,1.599623,1.632088,1.658338,1.678957,1.694503,1.70551,1.712479,1.715876,1.716132,1.713643,1.708772
"2014-12-15",-0.015211,-0.035189,-0.060934,-0.064856,-0.020421,0.057697,0.158048,0.271791,0.392177,0.514138,0.633941,0.748912,0.85721,0.957643,1.049519,1.132529,1.206651,1.27207,1.329127,1.378261,1.419979,1.454827,1.483363,1.506148,1.523728,1.536632,1.545357,1.550373,1.552117,1.550991,1.547365,1.541575
"2014-12-22",-0.019435,-0.043294,-0.075852,-0.09011,-0.052461,0.021593,0.119943,0.23322,0.354263,0.477675,0.599469,0.716775,0.8276,0.930639,1.025115,1.110659,1.187203,1.254907,1.31409,1.365185,1.408693,1.445162,1.475156,1.499241,1.517975,1.531892,1.541503,1.547286,1.549689,1.549124,1.54597,1.540572
"2014-12-29",-0.021245,-0.046874,-0.082859,-0.103595,-0.07201,-0.003666,0.089305,0.197531,0.313863,0.432919,0.550733,0.664449,0.772088,0.872352,0.964469,1.048065,1.12307,1.18963,1.248052,1.298749,1.342207,1.378949,1.409518,1.434458,1.454301,1.46956,1.480722,1.488244,1.49255,1.494034,1.493053,1.489937
"2015-01-05",-0.022004,-0.048564,-0.08687,-0.11369,-0.089507,-0.029307,0.055208,0.154987,0.263106,0.374345,0.48484,0.591801,0.693281,0.78799,0.875149,0.954364,1.025534,1.088774,1.144351,1.192642,1.234093,1.26919,1.298438,1.322349,1.341421,1.356138,1.366958,1.374314,1.378607,1.380208,1.37946,1.376671
"2015-01-12",-0.026731,-0.056884,-0.099623,-0.127972,-0.100705,-0.036852,0.049625,0.148616,0.252925,0.357547,0.459108,0.555439,0.645251,0.727885,0.803129,0.871075,0.932019,0.986383,1.03466,1.077374,1.115054,1.148216,1.177347,1.202905,1.225307,1.244934,1.262129,1.277197,1.290411,1.302011,1.312207,1.321186
"2015-01-19",-0.033381,-0.069609,-0.122952,-0.16741,-0.151125,-0.094661,-0.013099,0.082647,0.184811,0.287982,0.388511,0.484039,0.573154,0.65512,0.729679,0.796901,0.85707,0.910609,0.958016,0.999824,1.036571,1.068783,1.096959,1.121561,1.143017,1.161712,1.177995,1.192176,1.204529,1.215297,1.224692,1.2329
